Territorialidades,IDHM 2000,IDHM 2010,IDHM Renda 2000,IDHM Renda 2010,IDHM Longevidade 2000,IDHM Longevidade 2010,IDHM Educação 2000,IDHM Educação 2010,Subíndice de frequência escolar - IDHM Educação 2000,Subíndice de frequência escolar - IDHM Educação 2010,Subíndice de escolaridade - IDHM Educação 2000,Subíndice de escolaridade - IDHM Educação 2010,Renda per capita 2012,Renda per capita 2013,Renda per capita 2014,Renda per capita 2015,Subíndice de escolaridade - IDHM Educação 2012,Subíndice de escolaridade - IDHM Educação 2013,Subíndice de escolaridade - IDHM Educação 2014,Subíndice de escolaridade - IDHM Educação 2015,Subíndice de frequência escolar - IDHM Educação 2012,Subíndice de frequência escolar - IDHM Educação 2013,Subíndice de frequência escolar - IDHM Educação 2014,Subíndice de frequência escolar - IDHM Educação 2015,IDHM Educação 2012,IDHM Educação 2013,IDHM Educação 2014,IDHM Educação 2015,IDHM Longevidade 2012,IDHM Longevidade 2013,IDHM Longevidade 2014,IDHM Longevidade 2015,IDHM Renda 2012,IDHM Renda 2013,IDHM Renda 2014,IDHM Renda 2015,IDHM 2012,IDHM 2013,IDHM 2014,IDHM 2015,Renda per capita 2000,Renda per capita 2010,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Renda Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Longevidade Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação Censo,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Renda per capita PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de escolaridade - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Educação PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Longevidade PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM Renda PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM IDHM PNAD,Desagregação HOMEM Renda per capita Censo,Desagregação HOMEM Renda per capita Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Renda Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Longevidade Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Subíndice de escolaridade - IDHM Educação Censo,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Renda per capita PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de escolaridade - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER Subíndice de frequência escolar - IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Educação PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Longevidade PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM Renda PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER IDHM PNAD,Desagregação MULHER Renda per capita Censo,Desagregação MULHER Renda per capita Censo
Tanabi (SP),0.668,0.748,0.691,0.735,0.773,0.829,0.558,0.687,0.706,0.799,0.348,0.507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588.87,775.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará da Serra (MT),0.621,0.729,0.708,0.749,0.736,0.825,0.46,0.626,0.515,0.686,0.366,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656.6,846.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará (RN),0.454,0.608,0.47,0.566,0.659,0.77,0.302,0.516,0.388,0.643,0.183,0.332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.45,270.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangará (SC),0.59,0.737,0.683,0.748,0.809,0.867,0.372,0.617,0.453,0.756,0.25,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.55,840.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanguá (RJ),0.52,0.654,0.615,0.644,0.69,0.793,0.331,0.548,0.392,0.634,0.237,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366.32,440.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanhaçu (BA),0.439,0.577,0.55,0.565,0.661,0.772,0.233,0.44,0.318,0.569,0.125,0.263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.98,268.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanque D'Arca (AL),0.395,0.555,0.449,0.531,0.668,0.748,0.206,0.43,0.281,0.574,0.111,0.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.62,217.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanque do Piauí (PI),0.376,0.579,0.429,0.553,0.606,0.704,0.205,0.499,0.255,0.599,0.133,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.27,250.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanque Novo (BA),0.415,0.599,0.471,0.583,0.69,0.778,0.22,0.474,0.353,0.61,0.086,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.04,301.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanquinho (BA),0.492,0.597,0.53,0.567,0.641,0.768,0.35,0.488,0.424,0.548,0.239,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.89,273.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taparuba (MG),0.554,0.645,0.564,0.604,0.75,0.799,0.403,0.557,0.503,0.713,0.258,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.24,344.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapauá (AM),0.293,0.502,0.399,0.512,0.604,0.694,0.104,0.355,0.1,0.41,0.113,0.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.65,193.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapejara (PR),0.584,0.703,0.626,0.694,0.731,0.819,0.435,0.612,0.536,0.739,0.286,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.22,599.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapejara (RS),0.66,0.76,0.683,0.763,0.8,0.837,0.526,0.688,0.656,0.786,0.338,0.527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.97,922.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapera (RS),0.66,0.747,0.698,0.743,0.781,0.835,0.527,0.672,0.629,0.763,0.37,0.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.15,812.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taperoá (BA),0.381,0.566,0.471,0.566,0.626,0.754,0.188,0.426,0.203,0.51,0.162,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.21,270.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taperoá (PB),0.416,0.578,0.459,0.564,0.631,0.749,0.248,0.456,0.342,0.587,0.13,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.37,267.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapes (RS),0.619,0.695,0.681,0.699,0.781,0.862,0.447,0.556,0.516,0.636,0.335,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.7,620.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapiraí (MG),0.552,0.667,0.592,0.67,0.789,0.847,0.36,0.522,0.461,0.671,0.219,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318.75,517.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapiraí (SP),0.579,0.681,0.641,0.647,0.765,0.846,0.396,0.578,0.484,0.746,0.265,0.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.72,449.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapira (MG),0.578,0.712,0.641,0.759,0.806,0.847,0.374,0.561,0.457,0.649,0.251,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.25,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapiramutá (BA),0.395,0.594,0.483,0.589,0.643,0.752,0.199,0.473,0.265,0.592,0.113,0.302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.6,312.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapira (PR),0.607,0.697,0.6,0.689,0.748,0.794,0.498,0.619,0.651,0.767,0.291,0.404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.39,583.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapiratiba (SP),0.643,0.751,0.677,0.703,0.796,0.87,0.494,0.692,0.619,0.819,0.315,0.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539.36,637.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapurah (MT),0.624,0.714,0.748,0.738,0.771,0.831,0.421,0.594,0.466,0.674,0.344,0.461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839.1,789.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquaraçu de Minas (MG),0.515,0.651,0.576,0.643,0.794,0.818,0.299,0.525,0.372,0.665,0.194,0.328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.43,436.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquaral de Goiás (GO),0.584,0.716,0.635,0.7,0.726,0.846,0.431,0.619,0.569,0.745,0.247,0.427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416.97,622.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquaral (SP),0.627,0.759,0.737,0.742,0.768,0.823,0.435,0.716,0.629,0.882,0.208,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.55,811.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquarana (AL),0.375,0.541,0.442,0.529,0.669,0.71,0.178,0.421,0.229,0.582,0.108,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.15,215.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquara (RS),0.651,0.727,0.714,0.754,0.833,0.88,0.463,0.579,0.525,0.634,0.36,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.38,871.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquari (RS),0.641,0.733,0.672,0.737,0.799,0.849,0.491,0.629,0.574,0.683,0.359,0.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.53,786.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquaritinga do Norte (PE),0.48,0.641,0.569,0.636,0.754,0.796,0.258,0.52,0.351,0.631,0.139,0.353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.04,419.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquaritinga (SP),0.664,0.748,0.695,0.727,0.785,0.827,0.537,0.696,0.632,0.797,0.387,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604.77,739.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquarituba (SP),0.591,0.701,0.655,0.7,0.742,0.811,0.424,0.606,0.54,0.712,0.262,0.438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.77,624.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquarivaí (SP),0.498,0.679,0.602,0.617,0.745,0.811,0.275,0.626,0.369,0.757,0.152,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339.15,373.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquaruçu do Sul (RS),0.588,0.739,0.607,0.768,0.794,0.83,0.421,0.633,0.564,0.753,0.234,0.447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348.87,954.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taquarussu (MS),0.51,0.651,0.572,0.657,0.712,0.769,0.325,0.545,0.422,0.658,0.193,0.374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280.86,478.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarabai (SP),0.611,0.726,0.595,0.666,0.784,0.823,0.489,0.697,0.601,0.806,0.323,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.98,505.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarauacá (AC),0.386,0.539,0.488,0.554,0.644,0.72,0.183,0.392,0.189,0.445,0.171,0.304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.6,251.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarrafas (CE),0.377,0.576,0.387,0.529,0.616,0.751,0.224,0.482,0.316,0.642,0.112,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,214.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tartarugalzinho (AP),0.45,0.592,0.497,0.553,0.696,0.794,0.263,0.473,0.322,0.526,0.176,0.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.88,250.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarumã (SP),0.654,0.753,0.656,0.738,0.793,0.852,0.537,0.68,0.649,0.772,0.368,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.46,787.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarumirim (MG),0.525,0.633,0.558,0.614,0.724,0.829,0.358,0.499,0.472,0.644,0.206,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.76,364.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tasso Fragoso (MA),0.445,0.599,0.447,0.562,0.64,0.777,0.309,0.491,0.359,0.603,0.23,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.4,264.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatuí (SP),0.672,0.752,0.71,0.734,0.81,0.842,0.528,0.688,0.607,0.756,0.4,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661.92,771.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tauá (CE),0.477,0.633,0.522,0.585,0.735,0.773,0.283,0.56,0.385,0.707,0.153,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.21,305.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taubaté (SP),0.734,0.8,0.761,0.778,0.813,0.883,0.639,0.746,0.688,0.781,0.55,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912.43,1011.95,,0.78,,0.781,,0.817,,0.752,,0.79,,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033.04,,0.82,,0.775,,0.946,,0.762,,0.812,,0.671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.85
Tavares (PB),0.379,0.586,0.437,0.56,0.656,0.777,0.19,0.462,0.252,0.62,0.108,0.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.45,260.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tavares (RS),0.543,0.656,0.648,0.692,0.784,0.828,0.315,0.492,0.413,0.644,0.184,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.71,594.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tefé (AM),0.438,0.639,0.544,0.637,0.701,0.801,0.221,0.511,0.211,0.547,0.243,0.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.73,421.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teixeira de Freitas (BA),0.539,0.685,0.629,0.683,0.679,0.8,0.366,0.588,0.405,0.636,0.299,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.72,560.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teixeira (PB),0.427,0.605,0.488,0.566,0.627,0.741,0.255,0.527,0.303,0.612,0.18,0.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.58,271.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teixeiras (MG),0.549,0.675,0.602,0.685,0.707,0.804,0.388,0.558,0.515,0.67,0.221,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.95,568.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teixeira Soares (PR),0.575,0.671,0.614,0.676,0.718,0.822,0.432,0.544,0.531,0.65,0.285,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.42,536.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teixeirópolis (RO),0.44,0.643,0.571,0.653,0.693,0.818,0.216,0.498,0.31,0.633,0.105,0.309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.34,464.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tejuçuoca (CE),0.421,0.584,0.424,0.517,0.665,0.742,0.265,0.52,0.358,0.642,0.145,0.341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.1,199.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tejupá (SP),0.54,0.668,0.606,0.668,0.743,0.794,0.35,0.563,0.483,0.729,0.184,0.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,346.67,510.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telêmaco Borba (PR),0.644,0.734,0.678,0.726,0.726,0.828,0.543,0.657,0.636,0.725,0.396,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543.71,732.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telha (SE),0.453,0.604,0.482,0.564,0.582,0.722,0.332,0.542,0.422,0.631,0.206,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.38,268.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Ananias (RN),0.405,0.592,0.434,0.57,0.655,0.779,0.234,0.468,0.298,0.613,0.144,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.19,276.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Laurentino Cruz (RN),0.462,0.623,0.496,0.559,0.596,0.737,0.333,0.586,0.373,0.705,0.265,0.405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.65,259.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenente Portela (RS),0.607,0.708,0.609,0.709,0.749,0.83,0.491,0.603,0.585,0.693,0.346,0.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.86,659.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tenório (PB),0.386,0.581,0.468,0.565,0.587,0.707,0.209,0.49,0.284,0.627,0.114,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.94,269.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
